date	time	subject	blockcode	blocknum	trialcode	trialnum	response	correct	latency	stimulusnumber1	stimulusitem1
121514	12:00:23	1	startpic	1	startpic	1	57	1	2271	1	start.jpg
121514	12:00:23	1	attributepractice20	2	attributeA	2	18	0	4083	3	Limited English Proficient
121514	12:00:23	1	attributepractice20	2	attributeB	3	23	1	580	2	Regular Ed Student
121514	12:00:23	1	attributepractice20	2	attributeA	4	18	1	60	2	Language Minority Student
121514	12:00:23	1	attributepractice20	2	attributeA	5	18	0	801	5	ESOL Student
121514	12:00:23	1	attributepractice20	2	attributeB	6	23	1	264	1	Mainstream Student
121514	12:00:23	1	attributepractice20	2	attributeA	7	18	1	565	1	English Language Learner
121514	12:00:23	1	attributepractice20	2	attributeB	8	23	0	822	3	General Ed Student
121514	12:00:23	1	attributepractice20	2	attributeA	9	18	0	835	4	ELL
121514	12:00:23	1	attributepractice20	2	attributeB	10	23	0	904	3	General Ed Student
121514	12:00:23	1	attributepractice20	2	attributeB	11	23	1	330	1	Mainstream Student
121514	12:00:23	1	attributepractice20	2	attributeA	12	18	0	885	3	Limited English Proficient
121514	12:00:23	1	attributepractice20	2	attributeB	13	23	1	375	2	Regular Ed Student
121514	12:00:23	1	attributepractice20	2	attributeA	14	18	1	208	5	ESOL Student
121514	12:00:23	1	attributepractice20	2	attributeB	15	23	1	135	2	Regular Ed Student
121514	12:00:23	1	attributepractice20	2	attributeB	16	23	0	809	3	General Ed Student
121514	12:00:23	1	attributepractice20	2	attributeB	17	23	1	583	1	Mainstream Student
121514	12:00:23	1	attributepractice20	2	attributeB	18	23	1	743	1	Mainstream Student
121514	12:00:23	1	attributepractice20	2	attributeA	19	18	0	1049	4	ELL
121514	12:00:23	1	attributepractice20	2	attributeA	20	18	0	3637	2	Language Minority Student
121514	12:00:23	1	attributepractice20	2	attributeA	21	18	1	407	1	English Language Learner
121514	12:00:23	1	ArightBleftpractice20	3	targetBleft	2	18	0	1413	5	bomb
121514	12:00:23	1	ArightBleftpractice20	3	targetBleft	3	18	1	291	1	war
121514	12:00:23	1	ArightBleftpractice20	3	targetBleft	4	18	1	215	3	suicide
121514	12:00:23	1	ArightBleftpractice20	3	targetBleft	5	18	1	222	6	death
121514	12:00:23	1	ArightBleftpractice20	3	targetAright	6	23	0	877	2	peace
121514	12:00:23	1	ArightBleftpractice20	3	targetBleft	7	18	0	856	4	anger
121514	12:00:23	1	ArightBleftpractice20	3	targetBleft	8	18	0	1060	2	disease
121514	12:00:23	1	ArightBleftpractice20	3	targetAright	9	23	0	128	3	love
121514	12:00:23	1	ArightBleftpractice20	3	targetAright	10	23	0	154	4	delicious
121514	12:00:23	1	ArightBleftpractice20	3	targetBleft	11	18	0	147	6	death
121514	12:00:23	1	ArightBleftpractice20	3	targetBleft	12	18	0	172	5	bomb
121514	12:00:23	1	ArightBleftpractice20	3	targetBleft	13	18	0	76	2	disease
